Method,Name,Error,Occurrences
GET,/users?skip=12&limit=25,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=45&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?search=user&limit=25,CatchResponseError('HTTP 404'),3
GET,/users?skip=151&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=87&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=28&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=50&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=107&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=2&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=7&limit=25,CatchResponseError('HTTP 404'),1
GET,/suppliers?limit=10,CatchResponseError('HTTP 404'),7
GET,/invoices?skip=1&limit=100,CatchResponseError('HTTP 404'),1
GET,/users?skip=81&limit=25,CatchResponseError('HTTP 404'),1
GET,/business-units,CatchResponseError('HTTP 404'),18
GET,/users?skip=27&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=184&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=47&limit=50,CatchResponseError('HTTP 404'),2
GET,/users?skip=189&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=38&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=25&limit=10,CatchResponseError('HTTP 404'),2
GET,/users?skip=179&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=110&limit=10,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=4&limit=50,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=15&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=32&limit=25,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=51&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=169&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=64&limit=50,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=13&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=68&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=136&limit=25,CatchResponseError('HTTP 404'),1
GET,/regions,CatchResponseError('HTTP 404'),20
GET,/users?skip=48&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=33&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=108&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=160&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=190&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=29&limit=10,CatchResponseError('HTTP 404'),2
GET,/users?limit=500,CatchResponseError('HTTP 404'),115
GET,/users?search=acme&limit=25,CatchResponseError('HTTP 404'),2
GET,/invoices?skip=45&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=60&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=120&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=153&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=170&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?limit=10,CatchResponseError('HTTP 404'),101
GET,/users?skip=81&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=35&limit=25,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=3&limit=25,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=81&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=47&limit=10,CatchResponseError('HTTP 404'),2
GET,/users?skip=95&limit=10,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=66&limit=100,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=27&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=114&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=17&limit=50,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=17&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=11&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=2&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=144&limit=10,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=48&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=138&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=161&limit=10,CatchResponseError('HTTP 404'),1
GET,/suppliers?limit=200,CatchResponseError('HTTP 404'),97
GET,/users?search=test&limit=25,CatchResponseError('HTTP 404'),6
GET,/users?skip=24&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=29&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=130&limit=10,CatchResponseError('HTTP 404'),1
POST,/users,CatchResponseError('HTTP 404'),22
GET,/users?skip=14&limit=10,CatchResponseError('HTTP 404'),1
GET,/invoice-items?limit=1000,CatchResponseError('HTTP 404'),118
GET,/users?skip=38&limit=10,CatchResponseError('HTTP 404'),2
GET,/users?skip=178&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=146&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=131&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=151&limit=50,CatchResponseError('HTTP 404'),2
GET,/users?skip=30&limit=10,CatchResponseError('HTTP 404'),3
GET,/users?skip=32&limit=50,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=33&limit=25,CatchResponseError('HTTP 404'),2
GET,/users?skip=41&limit=10,CatchResponseError('HTTP 404'),1
GET,/suppliers?limit=15,CatchResponseError('HTTP 404'),96
